phone_number,number_type,call_time,hour_bucket,first_contact_type,has_prior_history,has_repeat_contact,repeat_gap,in_contacts,is_num_in_msg,inner_num_differs,msg_number_official_match,sms_to_call,sms_to_call_gap,is_url_in_msg,is_reliable_url,has_appinstall_link,is_carrier_altered,number_cluster,using_duration,unique_callees,is_global,is_sequential_callers,structural_phishing_score,is_sms_initiated_unreg,cold_contact,repeat_pressure_intensity,is_phishing,incident_type
15888801,특번,2026-08-16 18:05:00,18.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15446399,특번,2026-07-01 11:32:00,11.0,0,0,1,6.07,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.14144271570014144,0,normal
16008172,특번,2026-07-29 10:40:00,10.0,0,0,0,,0,0,,,1,1.28,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
01057500324,010,2026-04-09 17:31:00,17.0,1,1,1,71.69,1,0,,,0,,0,,,,,,,0,0,0.0,0,0,0.013757050488375293,0,normal
0624160113,기타,2026-01-27 01:35:00,1.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
0221565276,02(서울 유선),2026-03-29 14:16:00,14.0,1,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.0,0,normal
16705989,특번,2026-05-03 15:31:00,15.0,1,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,0,1,0.0,0,normal
15887270,특번,2026-05-18 22:01:00,22.0,0,0,0,,0,0,,,0,,1,1.0,0.0,,,,,0,0,1.0,1,1,0.0,0,normal
15882588,특번,2026-07-02 11:15:00,11.0,1,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.0,0,normal
16888114,특번,2026-05-11 23:52:00,23.0,0,0,1,28.59,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.03379520108144644,0,normal
15888000,특번,2026-07-02 12:13:00,12.0,0,0,0,,0,0,,,1,358.34,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
16084606,특번,2026-12-29 16:17:00,16.0,0,0,0,,0,1,1.0,1.0,1,3.24,1,1.0,0.0,,,,,0,0,3.0,1,1,0.0,0,normal
15444200,특번,2026-02-22 17:19:00,17.0,0,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,1,1,0.0,0,normal
0220269955,02(서울 유선),2026-07-22 07:36:00,7.0,1,0,0,,0,1,0.0,1.0,0,,0,,,,,,,0,0,1.0,0,1,0.0,0,normal
15221704,특번,2026-02-16 21:38:00,21.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
16706250,특번,2026-04-28 13:21:00,13.0,1,0,1,88.99,0,0,,,0,,0,,,,,,,0,0,0.0,0,1,0.011112345816201801,0,normal
15886565,특번,2026-06-22 12:55:00,12.0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0.0,1,1,0.0,0,normal
15887270,특번,2026-12-21 04:41:00,4.0,1,0,1,6.44,0,1,0.0,1.0,0,,1,1.0,0.0,,,,,0,0,2.0,0,1,0.13440860215053763,0,normal
